iter,a,b,m,f(m),rel_err
1,0.0,1.0,0.5,0.375,nan
2,0.0,0.5,0.25,-1.921875,1.0
3,0.25,0.5,0.375,-0.681640625,0.3333333333333333
4,0.375,0.5,0.4375,-0.131103515625,0.14285714285714285
5,0.4375,0.5,0.46875,0.127410888671875,0.06666666666666667
6,0.4375,0.46875,0.453125,-0.000469207763671875,0.034482758620689655
7,0.453125,0.46875,0.4609375,0.06381368637084961,0.01694915254237288
8,0.453125,0.4609375,0.45703125,0.031758129596710205,0.008547008547008548
9,0.453125,0.45703125,0.455078125,0.01566595584154129,0.004291845493562232
10,0.453125,0.455078125,0.4541015625,0.007603750564157963,0.002150537634408602
11,0.453125,0.4541015625,0.45361328125,0.003568615880794823,0.001076426264800861
12,0.453125,0.45361328125,0.453369140625,0.0015500402223551646,0.0005385029617662897
13,0.453125,0.453369140625,0.4532470703125,0.0005405002757470356,0.00026932399676811203
14,0.453125,0.4532470703125,0.45318603515625,3.566726832104905e-05,0.00013468013468013467
15,0.453125,0.45318603515625,0.453155517578125,-0.00021676499451928066,6.734460233012324e-05
16,0.453155517578125,0.45318603515625,0.4531707763671875,-9.054754982074087e-05,3.367116737937304e-05
17,0.4531707763671875,0.45318603515625,0.45317840576171875,-2.7439812431140354e-05,1.6835300257580095e-05
18,0.45317840576171875,0.45318603515625,0.4531822204589844,4.113810024186648e-06,8.4175792725528e-06
19,0.45317840576171875,0.4531822204589844,0.45318031311035156,-1.1662980684334912e-05,4.208807350261156e-06
20,0.45318031311035156,0.4531822204589844,0.45318126678466797,-3.7745802003996687e-06,2.10439924662507e-06
21,0.45318126678466797,0.4531822204589844,0.45318174362182617,1.6961619486721702e-07,1.0521985161896526e-06
22,0.45318126678466797,0.45318174362182617,0.45318150520324707,-1.8024816821338163e-06,5.260995348754012e-07
23,0.45318150520324707,0.45318174362182617,0.4531816244125366,-8.164326636972419e-07,2.6304969824253865e-07
24,0.4531816244125366,0.45318174362182617,0.4531816840171814,-3.234082139869088e-07,1.3152483182248567e-07
25,0.4531816840171814,0.45318174362182617,0.4531817138195038,-7.689600511895378e-08,6.576241158654778e-08
26,0.4531817138195038,0.45318174362182617,0.453181728720665,4.636009620639925e-08,3.288120471210023e-08
27,0.4531817138195038,0.453181728720665,0.4531817212700844,-1.5267954012188056e-08,1.6440602626343523e-08
28,0.4531817212700844,0.453181728720665,0.4531817249953747,1.5546071097105596e-08,8.22030124559841e-09
